MUSG00000020681	Ace
ENSMUSG00000028842	Ago3
ENSMUSG00000033952	Aspm
ENSMUSG00000069895	Atxn1l
ENSMUSG00000048482	Bdnf
ENSMUSG00000050071	Bex1
ENSMUSG00000021835	Bmp4
ENSMUSG00000021796	Bmpr1a
ENSMUSG00000047139	Cd24a
ENSMUSG00000006958	Chrd
ENSMUSG00000037815	Ctnna1
ENSMUSG00000006932	Ctnnb1
ENSMUSG00000028988	Ctnnbip1
ENSMUSG00000031778	Cx3cl1
ENSMUSG00000052336	Cx3cr1
ENSMUSG00000029380	Cxcl1
ENSMUSG00000022129	Dct
ENSMUSG00000022718	Dgcr8
ENSMUSG00000106687	Dgcr8
ENSMUSG00000043051	Disc1
ENSMUSG00000047143	Dmrta2
ENSMUSG00000072419	Dppa2
ENSMUSG00000032259	Drd2
ENSMUSG00000024079	Eif2ak2
ENSMUSG00000045394	Epcam
ENSMUSG00000006369	Fbln1
ENSMUSG00000040913	Fbxw4
ENSMUSG00000021974	Fgf9
ENSMUSG00000031565	Fgfr1
ENSMUSG00000042812	Foxf1
ENSMUSG00000020950	Foxg1
ENSMUSG00000030067	Foxp1
ENSMUSG00000029563	Foxp2
ENSMUSG00000007989	Fzd3
ENSMUSG00000021318	Gli3
ENSMUSG00000021109	Hif1a
ENSMUSG00000056758	Hmga2
ENSMUSG00000066551	Hmgb1
ENSMUSG00000054717	Hmgb2
ENSMUSG00000038894	Irs2
ENSMUSG00000046731	Kctd11
ENSMUSG00000037600	Kdf1
ENSMUSG00000036940	Kdm1a
ENSMUSG00000019966	Kitl
ENSMUSG00000024913	Lrp5
ENSMUSG00000036273	Lrrk2
ENSMUSG00000024940	Ltbp3
ENSMUSG00000006389	Mpl
ENSMUSG00000022346	Myc
ENSMUSG00000037169	Mycn
ENSMUSG00000029655	N4bp2l2
ENSMUSG00000020716	Nf1
ENSMUSG00000009073	Nf2
ENSMUSG00000008575	Nfib
ENSMUSG00000023994	Nfya
ENSMUSG00000026923	Notch1
ENSMUSG00000019803	Nr2e1
ENSMUSG00000021685	Otp
ENSMUSG00000024922	Ovol1
ENSMUSG00000037279	Ovol2
ENSMUSG00000027168	Pax6
ENSMUSG00000014771	Pdcd2
ENSMUSG00000029629	Phf14
ENSMUSG00000079092	Prl2c2
ENSMUSG00000026586	Prrx1
ENSMUSG00000029838	Ptn
ENSMUSG00000042308	Setd1a
ENSMUSG00000002633	Shh
ENSMUSG00000027833	Shox2
ENSMUSG00000034748	Sirt6
ENSMUSG00000051367	Six1
ENSMUSG00000038805	Six3
ENSMUSG00000028949	Smarcd3
ENSMUSG00000001761	Smo
ENSMUSG00000022676	Snai2
ENSMUSG00000033006	Sox10
ENSMUSG00000063632	Sox11
ENSMUSG00000025902	Sox17
ENSMUSG00000046470	Sox18
ENSMUSG00000000567	Sox9
ENSMUSG00000054321	Taf4b
ENSMUSG00000018604	Tbx3
ENSMUSG00000021611	Tert
ENSMUSG00000002603	Tgfb1
ENSMUSG00000032440	Tgfbr2
ENSMUSG00000022847	Thpo
ENSMUSG00000059552	Trp53
ENSMUSG00000022510	Trp63
ENSMUSG00000006270	Vax1
ENSMUSG00000023951	Vegfa
ENSMUSG00000031520	Vegfc
ENSMUSG00000015957	Wnt11
ENSMUSG00000010797	Wnt2
ENSMUSG00000021994	Wnt5a
ENSMUSG00000053110	Yap1
ENSMUSG00000024238	Zeb1
ENSMUSG00000039834	Zfp335
