ensembl_transcript_id	hgnc_symbol
ENST00000000233	ARF5
ENST00000000412	M6PR
ENST00000000442	ESRRA
ENST00000001008	FKBP4
ENST00000001146	CYP26B1
ENST00000002125	NDUFAF7
ENST00000002165	FUCA2
ENST00000002501	DBNDD1
ENST00000002596	HS3ST1
ENST00000002829	SEMA3F
ENST00000003084	CFTR
ENST00000003100	CYP51A1
ENST00000003302	USP28
ENST00000003583	STPG1
ENST00000003912	NIPAL3
ENST00000004531	SLC7A2
ENST00000004982	HSPB6
ENST00000005082	ZNF195
ENST00000005178	PDK4
ENST00000005180	CCL26
ENST00000005226	USH1C
ENST00000005257	RALA
ENST00000005259	BCAP29
ENST00000005260	BAIAP2L1
ENST00000005284	CACNG3
ENST00000005286	TMEM132A
ENST00000005340	DVL2
ENST00000005374	GGCT
ENST00000005386	RPAP3
ENST00000005558	IFRD1
ENST00000005756	UPP2
ENST00000005995	PRSS21
ENST00000006015	HOXA11
ENST00000006053	CX3CL1
ENST00000006251	PRR5
ENST00000006275	TRAPPC6A
ENST00000006658	SPATA20
ENST00000006777	RHBDD2
ENST00000007264	RPUSD1
ENST00000007390	TSR3
ENST00000007414	OSBPL7
ENST00000007510	ARHGAP33
ENST00000007516	NDUFAB1
ENST00000007699	YBX2
ENST00000007708	PDK2
ENST00000007722	ITGA3
ENST00000007969	LRRC23
ENST00000008180	IL32
ENST00000008391	TFAP2D
ENST00000008440	SPRTN
ENST00000008527	CRY1
ENST00000008876	MAPK8IP2
ENST00000008938	PGLYRP1
ENST00000009041	STARD3NL
ENST00000009105	CAMK1G
ENST00000009180	CD9
ENST00000009530	CD74
ENST00000009589	RPS20
ENST00000010132	DYRK4
ENST00000010299	FAM76A
ENST00000010404	MGST1
ENST00000011292	CPA1
ENST00000011473	SYPL1
ENST00000011619	RANBP9
ENST00000011653	CD4
ENST00000011684	PLEKHG6
ENST00000011691	SS18L2
ENST00000011700	VPS13D
ENST00000011898	TSPAN9
ENST00000011989	CYP4F2
ENST00000012049	QPCTL
ENST00000012134	HIVEP2
ENST00000012443	PPP5C
ENST00000013034	NME1
ENST00000013125	MAP4K5
ENST00000013807	ERCC1
ENST00000013894	ABHD5
ENST00000014914	GPRC5A
ENST00000014930	HEBP1
ENST00000014935	DNASE1L1
ENST00000016171	COX15
ENST00000016913	MS4A12
ENST00000017003	XYLT2
ENST00000019019	FTSJ1
ENST00000019103	SCTR
ENST00000019317	RALBP1
ENST00000020673	PSD
ENST00000020926	SYT13
ENST00000020945	SNAI2
ENST00000022615	VDAC3
ENST00000023064	SLC7A9
ENST00000023897	GABRA1
ENST00000023939	RTFDC1
ENST00000024061	SLC45A4
ENST00000025008	RB1CC1
ENST00000025301	AKAP11
ENST00000025399	STRAP
ENST00000026218	PIGQ
ENST00000027335	CDH17
ENST00000028008	RNASET2
ENST00000029410	B4GALT7
ENST00000031146	SLC39A9
ENST00000033079	FAM13B
ENST00000034275	RANBP3
ENST00000035307	CHPF2
ENST00000035383	LRRC7
ENST00000037243	GABARAPL2
ENST00000037502	MYOC
ENST00000037869	FAM136A
ENST00000038176	NSMAF
ENST00000039007	OTC
ENST00000039989	TTC17
ENST00000040584	HOXC8
ENST00000040663	MRI1
ENST00000040738	BOD1L1
ENST00000040877	TARBP1
ENST00000042381	FAM65A
ENST00000043402	RTN4R
ENST00000044462	PSMA4
ENST00000045083	FAM65C
ENST00000045347	SPATA7
ENST00000046087	ZPBP
ENST00000046640	CTNS
ENST00000046794	LCP2
ENST00000052569	GOPC
ENST00000052754	DCN
ENST00000053243	TNFRSF17
ENST00000053468	MRPS10
ENST00000053469	GUCA1A
ENST00000053867	GRN
ENST00000054650	THAP3
ENST00000054666	VAMP3
ENST00000054668	UTS2
ENST00000054950	RCN1
ENST00000055077	RFC2
ENST00000055335	PPP1R3F
ENST00000055682	KIAA2022
ENST00000056233	NFE2L3
ENST00000057513	TNIP3
ENST00000060969	SIKE1
ENST00000061240	TLL1
ENST00000064724	CLDN11
ENST00000064778	FAM168A
ENST00000064780	RELT
ENST00000066544	CDC27
ENST00000070846	PKP2
ENST00000072516	IL1RAP
ENST00000072644	YIPF1
ENST00000072869	ADCK2
ENST00000074304	INPP4A
ENST00000075120	SLC2A3
ENST00000075322	ENPP2
ENST00000075430	CTDP1
ENST00000075503	STYK1
ENST00000078429	GNA11
ENST00000078445	CREB3L3
ENST00000078527	PIGV
ENST00000080059	HDAC7
ENST00000081029	MRPS35
ENST00000082468	BTN3A1
ENST00000083182	APPBP2
ENST00000084795	RPL18
ENST00000084798	CA11
ENST00000085068	ISOC2
ENST00000085079	EPN1
ENST00000085219	CD22
ENST00000155093	ZFY
ENST00000155674	CECR5
ENST00000155840	KCNQ1
ENST00000155858	TRPM5
ENST00000155926	TRIB2
ENST00000156084	OTUD5
ENST00000156109	GPKOW
ENST00000156471	AQR
ENST00000156476	KLK13
ENST00000156499	KLK14
ENST00000156626	ST6GALNAC1
ENST00000156825	MBD3
ENST00000157600	LMCD1
ENST00000158009	FNDC8
ENST00000158166	CAMKK1
ENST00000158762	ACAP1
ENST00000158771	DERL2
ENST00000159060	NOX3
ENST00000159087	ANO8
ENST00000159111	KDM4B
ENST00000159647	PANX2
ENST00000160262	ICAM3
ENST00000160298	CAMSAP3
ENST00000160373	CTTNBP2
ENST00000160382	ACTL6B
ENST00000160713	FAM135B
ENST00000160740	CIC
ENST00000160827	KIF22
ENST00000161006	PRSS22
ENST00000161559	CEACAM1
ENST00000161863	YTHDC2
ENST00000162044	TMEM161A
ENST00000162330	BCAR1
ENST00000162391	FOXJ2
ENST00000162749	TNFRSF1A
ENST00000163416	GOLGA5
ENST00000163678	METTL22
ENST00000164024	CELSR3
ENST00000164133	PPP2R5B
ENST00000164139	PYGM
ENST00000164227	BCL3
ENST00000164247	KCNAB2
ENST00000164305	PIGB
ENST00000164640	PDZD4
ENST00000165524	PRLH
ENST00000165698	REEP1
ENST00000166139	FSTL3
ENST00000166244	EPHA8
ENST00000166345	TRIP13
ENST00000166534	P4HA2
ENST00000167106	VASH1
ENST00000167218	PDCD2
ENST00000167462	LLGL2
ENST00000167825	ARHGEF10L
ENST00000168148	SPP2
ENST00000168216	HSD17B10
ENST00000168712	FGF4
ENST00000168869	RGS11
ENST00000168977	NMRK2
ENST00000169293	MASP1
ENST00000169298	ST6GAL1
ENST00000169551	TIMM21
ENST00000170168	REXO1
ENST00000170447	MKRN2
ENST00000170564	GPATCH1
ENST00000170630	IL4R
ENST00000171111	KEAP1
ENST00000171757	P2RY10
ENST00000171887	TNS1
ENST00000172229	NGFR
ENST00000172853	NEB
ENST00000173229	NTN1
ENST00000173527	ISOC1
ENST00000173785	KLF6
ENST00000174618	MNT
ENST00000174653	AP3M2
ENST00000175091	LAPTM4A
ENST00000175238	ADAM7
ENST00000175506	ASNS
ENST00000175756	PTPN18
ENST00000176643	ALDH3A2
ENST00000176763	STK10
ENST00000177648	ALPK1
ENST00000177694	TBX21
ENST00000177742	MRPS34
ENST00000178638	CA12
