Geneid	Eff_Size	percentage_gc_content
ENSG00000000003	17417	40.4
ENSG00000000005	16693	40.8
ENSG00000000419	24895	39.85
ENSG00000000457	51519	40.14
ENSG00000000460	198040	39.22
ENSG00000000938	26687	52.97
ENSG00000000971	103771	35.2
ENSG00000001036	19672	39.69
ENSG00000001084	128092	40.16
ENSG00000001167	30842	40
ENSG00000001460	68446	44.09
ENSG00000001461	66586	45
ENSG00000001497	27782	50.45
ENSG00000001561	21357	36.06
ENSG00000001617	38856	57.74
ENSG00000001626	258704	36.59
ENSG00000001629	162280	36.77
ENSG00000001630	34875	39.91
ENSG00000001631	53401	36.48
ENSG00000002016	82166	45.17
ENSG00000002079	78682	49.9
ENSG00000002330	16582	53.92
ENSG00000002549	34565	44.17
ENSG00000002586	53414	47.39
ENSG00000002587	44781	43.92
ENSG00000002726	40701	47.8
ENSG00000002745	18998	38.61
ENSG00000002746	467367	42.03
ENSG00000002822	424680	55.65
ENSG00000002834	58972	53.69
ENSG00000002919	23323	48
ENSG00000002933	8196	57.57
ENSG00000003056	13369	42.71
ENSG00000003096	226510	36.56
ENSG00000003137	23815	59.96
ENSG00000003147	154394	40.3
ENSG00000003249	20054	59.39
ENSG00000003393	91019	38.06
ENSG00000003400	54123	42.31
ENSG00000003402	83112	44.35
ENSG00000003436	113244	36.6
ENSG00000003509	25423	38.97
ENSG00000003756	40481	44.45
ENSG00000003987	121190	40.36
ENSG00000003989	81390	40.13
ENSG00000004059	5231	56.5
ENSG00000004139	50830	51.55
ENSG00000004142	12466	50.16
ENSG00000004399	61381	58.39
ENSG00000004455	78783	46.32
ENSG00000004468	81810	41.09
ENSG00000004478	15650	51.56
ENSG00000004487	69676	39.16
ENSG00000004534	167340	44.14
ENSG00000004660	42000	57.17
ENSG00000004700	36536	37.57
ENSG00000004766	138235	34.83
ENSG00000004776	5233	62.56
ENSG00000004777	19550	60.93
ENSG00000004779	16954	48.8
ENSG00000004799	17511	36.07
ENSG00000004809	55861	41.33
ENSG00000004838	9751	57.81
ENSG00000004846	171088	37.73
ENSG00000004848	15130	54.42
ENSG00000004864	205637	39.76
ENSG00000004866	283607	39.15
ENSG00000004897	78543	38.66
ENSG00000004939	25043	55.8
ENSG00000004948	154285	35.2
ENSG00000004961	14112	42.99
ENSG00000004975	14554	55.14
ENSG00000005001	7830	59.35
ENSG00000005007	44898	55.16
ENSG00000005020	333697	36.94
ENSG00000005022	4419	53.25
ENSG00000005059	132087	41.01
ENSG00000005073	6020	55.22
ENSG00000005075	7144	55.04
ENSG00000005100	34020	45.81
ENSG00000005102	24273	51.61
ENSG00000005108	472770	35.51
ENSG00000005156	42168	47.23
ENSG00000005175	50193	36.57
ENSG00000005187	195160	41.08
ENSG00000005189	47353	39.89
ENSG00000005194	22868	44.41
ENSG00000005206	33321	61.06
ENSG00000005238	18638	54.68
ENSG00000005243	13714	52.71
ENSG00000005249	121480	38.63
ENSG00000005302	24090	42.85
ENSG00000005339	170740	45.01
ENSG00000005379	38886	57.84
ENSG00000005381	14605	55.13
ENSG00000005421	29863	40.5
ENSG00000005436	64454	36.39
ENSG00000005448	6937	54.68
ENSG00000005469	59093	37.43
ENSG00000005471	86232	38.6
ENSG00000005483	109415	37.46
ENSG00000005486	48765	47.79
ENSG00000005513	9603	64.81
ENSG00000005700	86493	36.07
ENSG00000005801	45670	41.43
ENSG00000005810	298340	35.72
ENSG00000005812	41679	38.36
ENSG00000005844	56999	50.46
ENSG00000005882	22896	56.67
ENSG00000005884	44315	52.64
ENSG00000005889	76119	40.77
ENSG00000005893	47064	38.79
ENSG00000005961	22876	54.83
ENSG00000005981	66393	38.27
ENSG00000006007	24872	40.17
ENSG00000006015	7021	60.24
ENSG00000006016	38539	55.32
ENSG00000006025	21034	57.86
ENSG00000006042	22383	48.47
ENSG00000006047	10981	57.92
ENSG00000006059	6007	48.36
ENSG00000006062	59771	49.97
ENSG00000006071	90738	50
ENSG00000006116	110336	44.54
ENSG00000006118	19967	58.71
ENSG00000006125	155950	39.93
ENSG00000006128	10452	39.8
ENSG00000006194	44546	47.09
ENSG00000006210	18573	53.7
ENSG00000006282	18131	57.05
ENSG00000006283	76115	56.83
ENSG00000006327	5786	60.12
ENSG00000006377	8940	49.51
ENSG00000006432	99394	44.98
ENSG00000006451	88306	39.69
ENSG00000006453	114215	46.77
ENSG00000006459	101719	39.18
ENSG00000006468	109813	36.3
ENSG00000006530	110602	39.59
ENSG00000006534	27330	58.4
ENSG00000006555	27610	52.26
ENSG00000006576	167357	37.65
ENSG00000006606	21069	48.09
ENSG00000006607	153011	45.6
ENSG00000006611	55425	51.78
ENSG00000006625	9820	40.55
ENSG00000006634	37908	36.72
ENSG00000006638	15127	55.77
ENSG00000006652	65538	39.45
ENSG00000006659	6217	45.3
ENSG00000006695	142353	38.47
ENSG00000006704	155312	52.72
ENSG00000006712	8011	52.73
ENSG00000006715	217232	38.35
ENSG00000006740	211385	42.68
ENSG00000006744	32141	48.08
ENSG00000006747	101225	38.46
ENSG00000006756	32411	48.88
ENSG00000006757	32933	40.45
ENSG00000006788	81395	45.69
ENSG00000006831	105982	39.4
ENSG00000006837	87754	40.16
ENSG00000007001	262409	40.24
ENSG00000007038	11091	55.65
ENSG00000007047	232663	53.57
ENSG00000007062	128736	43.17
ENSG00000007080	12635	55.84
ENSG00000007129	39248	44.66
ENSG00000007168	100532	42.4
ENSG00000007171	47909	51.36
ENSG00000007174	388297	42.63
ENSG00000007202	40249	46.75
ENSG00000007216	27714	52.55
ENSG00000007237	298042	47.97
ENSG00000007255	16242	56.86
ENSG00000007264	28300	54.4
ENSG00000007306	36318	47.86
ENSG00000007312	5694	60.69
ENSG00000007314	42611	56.1
ENSG00000007341	105418	39.05
ENSG00000007350	38329	48.34
ENSG00000007372	47951	49.68
ENSG00000007376	6192	67.17
ENSG00000007384	23210	61.15
ENSG00000007392	46670	47.33
ENSG00000007402	147767	56.52
ENSG00000007516	21986	65.72
ENSG00000007520	3914	62.57
ENSG00000007541	24010	64.36
ENSG00000007545	73956	53.11
ENSG00000007866	26525	56.75
ENSG00000007908	46649	39.37
ENSG00000007923	72839	46.6
ENSG00000007933	30405	36.5
ENSG00000007944	22156	40.19
ENSG00000007952	33550	41.14
ENSG00000007968	30247	51.66
ENSG00000008018	20480	39.81
ENSG00000008056	51164	47.76
ENSG00000008083	281759	43.92
ENSG00000008086	243688	40.21
ENSG00000008118	32897	47.01
ENSG00000008128	26295	51.99
ENSG00000008130	34795	53.7
ENSG00000008196	35039	44.14
ENSG00000008197	61016	37.24
ENSG00000008226	93158	48.5
ENSG00000008256	116676	44.78
ENSG00000008277	280945	37.29
ENSG00000008282	24867	38.18
ENSG00000008283	19394	57.41
ENSG00000008294	170654	40
ENSG00000008300	40319	59.89
ENSG00000008311	73224	36.48
ENSG00000008323	22330	55.71
ENSG00000008324	14575	47.77
ENSG00000008382	18608	55.95
ENSG00000008394	269557	36.94
ENSG00000008405	107527	37.62
ENSG00000008438	4632	57.73
ENSG00000008441	109490	55.28
ENSG00000008513	125821	49.4
ENSG00000008516	18171	58.2
ENSG00000008517	20104	53.36
ENSG00000008710	65720	63.1
ENSG00000008735	19197	63.07
ENSG00000008838	49080	50.63
ENSG00000008853	39362	53.51
ENSG00000008869	124165	38.59
ENSG00000008952	39666	36.6
ENSG00000008988	10288	41.97
ENSG00000009307	47541	38.28
ENSG00000009335	139679	42.12
ENSG00000009413	197112	36.9
ENSG00000009694	600810	37.17
ENSG00000009709	124173	52.35
ENSG00000009724	24961	50.21
ENSG00000009765	47439	41.6
ENSG00000009780	41177	43.35
ENSG00000009790	34038	45.61
