Geneid	Eff_Size	percentage_gc_content
ENSMUSG00000000001	42128	41.65
ENSMUSG00000000003	16624	38.23
ENSMUSG00000000028	33792	46.23
ENSMUSG00000000031	4986	55.83
ENSMUSG00000000037	147099	37.89
ENSMUSG00000000049	72636	43.83
ENSMUSG00000000056	23409	46.96
ENSMUSG00000000058	11265	39.77
ENSMUSG00000000078	13121	43.41
ENSMUSG00000000085	132636	39.89
ENSMUSG00000000088	11882	42.88
ENSMUSG00000000093	13023	55.36
ENSMUSG00000000094	33076	50.74
ENSMUSG00000000103	67501	36.56
ENSMUSG00000000120	22363	53.62
ENSMUSG00000000125	46883	52.32
ENSMUSG00000000126	29953	52.53
ENSMUSG00000000127	246949	40.1
ENSMUSG00000000131	108478	43.53
ENSMUSG00000000134	21903	51.75
ENSMUSG00000000142	35940	53.94
ENSMUSG00000000148	20547	51.56
ENSMUSG00000000149	75439	47.49
ENSMUSG00000000154	27316	52
ENSMUSG00000000157	24267	49.83
ENSMUSG00000000159	166678	45.45
ENSMUSG00000000167	10492	43.52
ENSMUSG00000000168	30033	44.1
ENSMUSG00000000171	8798	45.01
ENSMUSG00000000182	11206	46.08
ENSMUSG00000000183	17258	49.34
ENSMUSG00000000184	36440	49.26
ENSMUSG00000000194	79225	49.01
ENSMUSG00000000197	357618	38.67
ENSMUSG00000000202	7915	56.02
ENSMUSG00000000204	19004	43.29
ENSMUSG00000000214	40740	51.59
ENSMUSG00000000215	21664	44.31
ENSMUSG00000000216	36987	45.71
ENSMUSG00000000223	60575	44.54
ENSMUSG00000000244	17446	53.07
ENSMUSG00000000247	34845	50
ENSMUSG00000000248	53122	41.63
ENSMUSG00000000253	40809	48.8
ENSMUSG00000000263	96374	45.7
ENSMUSG00000000266	111230	40.18
ENSMUSG00000000275	26671	48.45
ENSMUSG00000000276	40058	43.85
ENSMUSG00000000278	33542	47.22
ENSMUSG00000000282	19432	56.49
ENSMUSG00000000290	38508	50.26
ENSMUSG00000000295	18331	42.1
ENSMUSG00000000296	114808	40.18
ENSMUSG00000000301	77979	49.74
ENSMUSG00000000303	71469	47.03
ENSMUSG00000000305	464199	49.53
ENSMUSG00000000308	8519	48.09
ENSMUSG00000000317	9389	51.38
ENSMUSG00000000318	17536	47.28
ENSMUSG00000000320	17981	48.86
ENSMUSG00000000325	65319	50.36
ENSMUSG00000000326	22498	48.68
ENSMUSG00000000339	21125	43.09
ENSMUSG00000000340	40259	44.05
ENSMUSG00000000346	6929	49.28
ENSMUSG00000000355	14419	37.89
ENSMUSG00000000359	10403	52.13
ENSMUSG00000000365	127483	38.64
ENSMUSG00000000374	62965	48.02
ENSMUSG00000000378	53523	47.75
ENSMUSG00000000381	4163	52.44
