#	"-B"
Geneid	Length
ENSMUSG00000102693.1	1070
ENSMUSG00000064842.1	110
ENSMUSG00000051951.5	6094
ENSMUSG00000102851.1	480
ENSMUSG00000103377.1	2819
ENSMUSG00000104017.1	2233
ENSMUSG00000103025.1	2309
ENSMUSG00000089699.1	250
ENSMUSG00000103201.1	2057
ENSMUSG00000103147.1	926
ENSMUSG00000103161.1	3012
ENSMUSG00000102331.1	3259
ENSMUSG00000102348.1	1634
ENSMUSG00000102592.1	2351
ENSMUSG00000088333.2	58
ENSMUSG00000102343.1	1364
ENSMUSG00000102948.1	1867
ENSMUSG00000025900.8	9108
ENSMUSG00000104123.1	1484
ENSMUSG00000025902.11	4772
ENSMUSG00000104238.1	2917
ENSMUSG00000102269.1	2991
ENSMUSG00000096126.1	107
ENSMUSG00000103003.1	450
ENSMUSG00000104328.1	2773
ENSMUSG00000102735.1	936
ENSMUSG00000098104.1	1470
ENSMUSG00000102175.1	1206
ENSMUSG00000088000.1	103
ENSMUSG00000103265.1	631
ENSMUSG00000103922.1	1069
ENSMUSG00000033845.11	8487
ENSMUSG00000102275.1	1150
ENSMUSG00000025903.12	7145
ENSMUSG00000104217.1	825
ENSMUSG00000033813.13	3017
ENSMUSG00000062588.4	603
ENSMUSG00000103280.1	1111
ENSMUSG00000002459.15	4239
ENSMUSG00000091305.1	272
ENSMUSG00000102653.1	2135
ENSMUSG00000085623.1	3725
ENSMUSG00000091665.1	1588
ENSMUSG00000033793.10	9746
ENSMUSG00000104352.1	732
ENSMUSG00000104046.1	2279
ENSMUSG00000102907.1	2032
ENSMUSG00000025905.11	9151
ENSMUSG00000103936.1	394
ENSMUSG00000093015.1	101
ENSMUSG00000103519.1	1799
ENSMUSG00000033774.4	3692
ENSMUSG00000103090.1	1083
ENSMUSG00000025907.12	14690
ENSMUSG00000090031.2	5428
ENSMUSG00000087247.3	971
ENSMUSG00000103355.1	639
ENSMUSG00000102706.1	473
ENSMUSG00000103845.1	4530
ENSMUSG00000033740.15	6464
ENSMUSG00000103329.2	2915
ENSMUSG00000104385.1	663
ENSMUSG00000102135.1	626
ENSMUSG00000103282.1	30
ENSMUSG00000102534.1	325
ENSMUSG00000102213.1	159
ENSMUSG00000103629.1	641
ENSMUSG00000051285.15	6654
ENSMUSG00000098201.1	388
ENSMUSG00000103509.1	4028
ENSMUSG00000048538.7	1299
ENSMUSG00000103709.1	178
ENSMUSG00000077244.1	130
ENSMUSG00000102768.1	1012
ENSMUSG00000097797.4	4339
ENSMUSG00000103498.1	1124
ENSMUSG00000103067.1	2596
ENSMUSG00000102320.1	286
ENSMUSG00000104226.1	2095
ENSMUSG00000103903.1	881
ENSMUSG00000103557.1	1214
ENSMUSG00000025909.14	10908
ENSMUSG00000102647.1	2532
ENSMUSG00000086235.1	400
ENSMUSG00000102253.1	3534
ENSMUSG00000093970.1	110
ENSMUSG00000103884.1	1164
ENSMUSG00000084353.1	240
ENSMUSG00000103933.1	198
ENSMUSG00000076135.1	110
ENSMUSG00000086195.1	340
ENSMUSG00000104504.1	340
ENSMUSG00000066693.2	626
ENSMUSG00000102316.1	1050
